                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.40277,                0.57248,                0.84973,                0.93224,                0.89944,                 0.9575,                0.87831,                0.31076,                0.50279,                0.77461,                0.00307,                0.00307,                0.00307
                     37,                  0.406,                0.57379,                0.84167,                0.89519,                0.94185,                0.95753,                0.89126,                0.29991,                 0.4865,                0.77188,               0.002872,               0.002872,               0.002872
                     38,                0.40143,                0.54346,                0.83395,                0.90031,                0.95158,                0.95932,                0.88835,                0.31757,                0.50429,                0.77201,               0.002674,               0.002674,               0.002674
                     39,                0.38361,                0.55565,                0.83843,                0.89452,                0.93772,                0.95139,                0.88237,                0.30718,                0.51907,                0.77337,               0.002476,               0.002476,               0.002476
                     40,                0.37656,                0.55798,                0.83074,                0.89063,                0.93654,                0.95424,                0.88318,                0.30027,                0.51481,                0.77197,               0.002278,               0.002278,               0.002278
                     41,                0.37715,                 0.5476,                0.83163,                0.92186,                0.91258,                 0.9628,                0.91002,                0.27287,                0.47245,                 0.7685,                0.00208,                0.00208,                0.00208
                     42,                0.36066,                0.52792,                0.83853,                 0.8821,                0.94721,                 0.9607,                0.90737,                0.27512,                0.47047,                0.76806,               0.001882,               0.001882,               0.001882
                     43,                0.35613,                0.53101,                0.82352,                0.90148,                0.94535,                0.95654,                0.89183,                 0.2823,                0.48067,                0.76919,               0.001684,               0.001684,               0.001684
                     44,                0.35218,                0.50724,                0.82365,                0.89673,                0.95871,                0.95811,                0.89752,                0.27072,                0.47012,                0.76801,               0.001486,               0.001486,               0.001486
                     45,                0.35737,                0.51142,                0.83007,                0.89801,                0.95472,                0.96136,                0.90356,                0.26346,                0.46717,                0.76753,               0.001288,               0.001288,               0.001288
                     46,                0.34501,                0.50711,                0.82438,                0.91088,                0.94916,                0.96262,                0.90512,                 0.2664,                0.46516,                0.76651,                0.00109,                0.00109,                0.00109
                     47,                0.33733,                0.49858,                0.82503,                0.93787,                0.91364,                 0.9629,                0.91298,                0.25893,                0.45339,                0.76548,               0.000892,               0.000892,               0.000892
                     48,                0.34139,                0.49224,                0.82186,                0.89418,                0.95289,                0.96121,                0.90994,                0.25269,                0.45278,                0.76452,               0.000694,               0.000694,               0.000694
                     49,                0.32247,                0.49312,                0.82525,                0.89842,                0.96472,                0.96057,                0.91376,                0.25706,                0.45307,                0.76493,               0.000496,               0.000496,               0.000496
